Type                                  Module                      Label             Process   
----------------------------------------------------------------------------------------------
BXVector<l1t::CaloTower>              "caloStage2Digis"           "CaloTower"       "HLT"     
BXVector<l1t::EGamma>                 "caloStage2Digis"           "EGamma"          "HLT"     
BXVector<l1t::EGamma>                 "caloStage2Digis"           "MP"              "HLT"     
BXVector<l1t::EtSum>                  "caloStage2Digis"           "EtSum"           "HLT"     
BXVector<l1t::EtSum>                  "caloStage2Digis"           "MP"              "HLT"     
BXVector<l1t::Jet>                    "caloStage2Digis"           "Jet"             "HLT"     
BXVector<l1t::Jet>                    "caloStage2Digis"           "MP"              "HLT"     
BXVector<l1t::Tau>                    "caloStage2Digis"           "MP"              "HLT"     
BXVector<l1t::Tau>                    "caloStage2Digis"           "Tau"             "HLT"     
EBDigiCollection                      "selectDigi"                "selectedEcalEBDigiCollection"   "HLT"     
EEDigiCollection                      "selectDigi"                "selectedEcalEEDigiCollection"   "HLT"     
ROOT::Math::PositionVector3D<ROOT::Math::Cartesian3D<float>,ROOT::Math::DefaultCoordinateSystemTag>    "genParticles"              "xyz0"            "HLT"     
edm::Association<vector<reco::Track> >    "lowPtGsfToTrackLinks"      ""                "HLT"     
edm::Association<vector<reco::TrackExtra> >    "muonReducedTrackExtras"    ""                "HLT"     
edm::Association<vector<reco::Vertex> >    "offlinePrimaryVertices"    ""                "HLT"     
edm::Association<vector<reco::Vertex> >    "offlinePrimaryVerticesWithBS"   ""                "HLT"     
edm::AssociationMap<edm::OneToOne<vector<Trajectory>,vector<reco::GsfTrack>,unsigned short> >    "electronGsfTracks"         ""                "HLT"     
edm::AssociationMap<edm::OneToOne<vector<Trajectory>,vector<reco::GsfTrack>,unsigned short> >    "lowPtGsfEleGsfTracks"      ""                "HLT"     
edm::AssociationMap<edm::OneToOne<vector<reco::SuperCluster>,vector<reco::HFEMClusterShape>,unsigned int> >    "hfEMClusters"              ""                "HLT"     
edm::AssociationMap<edm::OneToOne<vector<reco::Track>,vector<reco::Track>,unsigned int> >    "refittedStandAloneMuons"   ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "ckfInOutTracksFromConversions"   ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "ckfOutInTracksFromConversions"   ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "convStepTracks"            ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "conversionStepTracks"      ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "cosmicMuons"               ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "cosmicMuons1Leg"           ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "cosmicsVetoTracks"         ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "cosmicsVetoTracksRaw"      ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "detachedQuadStepTracks"    ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "detachedTripletStepTracks"   ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "displacedGlobalMuons"      ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "displacedMuonReducedTrackExtras"   ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "displacedStandAloneMuons"   ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "displacedTracks"           ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "earlyGeneralTracks"        ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "electronGsfTracks"         ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "generalTracks"             ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "globalMuons"               ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "highPtTripletStepTracks"   ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltDiMuonMerging"          ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltDiMuonMergingIter01TkMu"   ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltDiMuonMergingNoVtx"     ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltDisplacedhltIter4CtfWithMaterialTracksForDisplacedTkMuons"   ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltDisplacedhltIter4CtfWithMaterialTracksForGlbDisplacedMuons"   ""                "HLT"     
